------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     4  0.000000000000E+00  0.000000000000E+00 -7.103139469838E+01

------ Current Surface: Coil-Plasma separation =   5.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      2   -14 -8.828490060211E-09 -5.046707473025E-08  0.000000000000E+00  0.000000000000E+00
      2   -15  2.258009113671E-08  2.618657998485E-08  0.000000000000E+00  0.000000000000E+00
      2   -16 -7.682984726014E-09 -9.369625042046E-09  0.000000000000E+00  0.000000000000E+00
      2   -17  5.620141378324E-09  1.465990813267E-09  0.000000000000E+00  0.000000000000E+00
      2   -18 -8.816770686338E-09 -4.957007857992E-09  0.000000000000E+00  0.000000000000E+00
      2   -19 -1.808235658158E-09 -8.395846098878E-09  0.000000000000E+00  0.000000000000E+00
      2   -20 -1.069645024410E-09 -3.776649107500E-09  0.000000000000E+00  0.000000000000E+00
      2   -21  2.745547109974E-09  6.911381436234E-10  0.000000000000E+00  0.000000000000E+00
      2   -22  3.156350265572E-09  4.749838572238E-09  0.000000000000E+00  0.000000000000E+00
      2   -23  1.862241285873E-09  4.465930656899E-09  0.000000000000E+00  0.000000000000E+00
      2   -24  2.624266047524E-10  2.294970395932E-09  0.000000000000E+00  0.000000000000E+00
