------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     5  0.000000000000E+00  0.000000000000E+00  1.956111262946E+01

------ Current Surface: Coil-Plasma separation =   1.000000000000E+00 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      3     5  6.570438314166E-05  6.486909081034E-05  0.000000000000E+00  0.000000000000E+00
      3     4 -1.783946950675E-04 -1.743384285374E-04  0.000000000000E+00  0.000000000000E+00
      3     3  3.818740688252E-04  3.823878201581E-04  0.000000000000E+00  0.000000000000E+00
      3     2 -7.733933495910E-04 -8.126517842651E-04  0.000000000000E+00  0.000000000000E+00
      3     1  3.208335239271E-04  2.825886079830E-04  0.000000000000E+00  0.000000000000E+00
      3     0  3.278192919060E-02  2.709649031647E-02  0.000000000000E+00  0.000000000000E+00
      3    -1 -1.731172758752E-01 -1.202715128682E-01  0.000000000000E+00  0.000000000000E+00
      3    -2 -6.906542468567E-02 -5.182410645564E-02  0.000000000000E+00  0.000000000000E+00
      3    -3  4.285053215901E-02 -6.612838312492E-02  0.000000000000E+00  0.000000000000E+00
      3    -4  2.727792501904E-04 -5.240199085052E-03  0.000000000000E+00  0.000000000000E+00
      3    -5  3.407021340305E-03 -4.916445818366E-03  0.000000000000E+00  0.000000000000E+00
      3    -6  4.945123989906E-04 -1.199231944546E-03  0.000000000000E+00  0.000000000000E+00
      3    -7  2.716810293353E-04 -5.352290462233E-04  0.000000000000E+00  0.000000000000E+00
      3    -8  8.143652820357E-05 -1.887615141775E-04  0.000000000000E+00  0.000000000000E+00
      3    -9  2.109511457915E-05 -6.346825946068E-05  0.000000000000E+00  0.000000000000E+00
      3   -10  1.198653537011E-05 -2.866088269240E-05  0.000000000000E+00  0.000000000000E+00
      3   -11  9.147342982054E-07 -7.781419397228E-06  0.000000000000E+00  0.000000000000E+00
      3   -12  1.563440238541E-06 -4.217653487227E-06  0.000000000000E+00  0.000000000000E+00
      3   -13 -9.581481209570E-08 -1.036227527442E-06  0.000000000000E+00  0.000000000000E+00
      3   -14  1.813564716256E-07 -6.250838135493E-07  0.000000000000E+00  0.000000000000E+00
      3   -15 -2.497920889816E-08 -1.676450332910E-07  0.000000000000E+00  0.000000000000E+00
      3   -16  1.880985011867E-08 -1.027166551703E-07  0.000000000000E+00  0.000000000000E+00
      3   -17 -4.523631450437E-09 -4.358925791677E-08  0.000000000000E+00  0.000000000000E+00
